cd_curso,semestre,courseid,Users per course,Start Date,End Date,Course duration days,cuttoff_point
4959,S1,400131.0,14,2020-09-07,2021-01-15,131.0,2020-08-31
4959,S2,200014.0,16,2021-02-08,2021-06-18,131.0,2021-02-01
4959,S2,200049.0,2,2021-02-08,2021-06-18,131.0,2021-02-01
4959,S2,200146.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
4959,S2,200162.0,4,2021-02-08,2021-06-18,131.0,2021-02-01
4959,S2,200167.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
4959,S2,200170.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
4959,S2,200190.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
4959,S2,400019.0,13,2021-02-08,2021-06-18,131.0,2021-02-01
4959,S2,400055.0,14,2021-02-08,2021-06-18,131.0,2021-02-01
4959,S2,400081.0,2,2021-02-08,2021-06-18,131.0,2021-02-01
4959,T3,200068.0,6,2021-02-08,2021-04-09,61.0,2021-02-01
4959,T3,200210.0,5,2021-02-08,2021-04-09,61.0,2021-02-01
4959,T4,200200.0,2,2021-04-12,2021-06-11,61.0,2021-04-05
4959,T4,200217.0,4,2021-04-12,2021-06-11,61.0,2021-04-05
4962,S1,400005.0,7,2020-09-07,2021-01-15,131.0,2020-08-31
4962,S1,400007.0,5,2020-09-07,2021-01-15,131.0,2020-08-31
4962,S1,400012.0,10,2020-09-07,2021-01-15,131.0,2020-08-31
4962,S1,400013.0,5,2020-09-07,2021-01-15,131.0,2020-08-31
4962,S1,400017.0,8,2020-09-07,2021-01-15,131.0,2020-08-31
4962,S1,400070.0,6,2020-09-07,2021-01-15,131.0,2020-08-31
4962,S1,400131.0,6,2020-09-07,2021-01-15,131.0,2020-08-31
4962,S2,400006.0,13,2021-02-08,2021-06-18,131.0,2021-02-01
4962,S2,400008.0,7,2021-02-08,2021-06-18,131.0,2021-02-01
4962,S2,400010.0,6,2021-02-08,2021-06-18,131.0,2021-02-01
4962,S2,400014.0,5,2021-02-08,2021-06-18,131.0,2021-02-01
4962,S2,400015.0,4,2021-02-08,2021-06-18,131.0,2021-02-01
4962,S2,400018.0,4,2021-02-08,2021-06-18,131.0,2021-02-01
4962,S2,400072.0,3,2021-02-08,2021-06-18,131.0,2021-02-01
4964,S1,400032.0,22,2020-09-07,2021-01-15,131.0,2020-08-31
4964,S1,400033.0,22,2020-09-07,2021-01-15,131.0,2020-08-31
4964,S1,400035.0,22,2020-09-07,2021-01-15,131.0,2020-08-31
4964,S1,400037.0,22,2020-09-07,2021-01-15,131.0,2020-08-31
4964,S2,400030.0,20,2021-02-08,2021-06-18,131.0,2021-02-01
4964,S2,400031.0,20,2021-02-08,2021-06-18,131.0,2021-02-01
4964,S2,400034.0,20,2021-02-08,2021-06-18,131.0,2021-02-01
4964,S2,400036.0,20,2021-02-08,2021-06-18,131.0,2021-02-01
4967,S1,200012.0,5,2020-09-07,2021-01-15,131.0,2020-08-31
4967,S1,200032.0,1,2020-09-07,2021-01-15,131.0,2020-08-31
4967,S1,200071.0,2,2020-09-07,2021-01-15,131.0,2020-08-31
4967,S1,200101.0,1,2020-09-07,2021-01-15,131.0,2020-08-31
4967,S1,200165.0,1,2020-09-07,2021-01-15,131.0,2020-08-31
4967,S1,200187.0,39,2020-09-07,2021-01-15,131.0,2020-08-31
4967,S1,200196.0,36,2020-09-07,2021-01-15,131.0,2020-08-31
4967,S1,200201.0,3,2020-09-07,2021-01-15,131.0,2020-08-31
4967,S1,400082.0,37,2020-09-07,2021-01-15,131.0,2020-08-31
4967,S2,200013.0,2,2021-02-08,2021-06-18,131.0,2021-02-01
4967,S2,200014.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
4967,S2,200049.0,15,2021-02-08,2021-06-18,131.0,2021-02-01
4967,S2,200069.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
4967,S2,200146.0,2,2021-02-08,2021-06-18,131.0,2021-02-01
4967,S2,200167.0,2,2021-02-08,2021-06-18,131.0,2021-02-01
4967,S2,200170.0,24,2021-02-08,2021-06-18,131.0,2021-02-01
4967,S2,200188.0,39,2021-02-08,2021-06-18,131.0,2021-02-01
4967,S2,400023.0,4,2021-02-08,2021-06-18,131.0,2021-02-01
4967,S2,400081.0,32,2021-02-08,2021-06-18,131.0,2021-02-01
4967,T1,200073.0,1,2020-09-07,2020-10-30,54.0,2020-08-31
4967,T1,200088.0,1,2020-09-07,2020-10-30,54.0,2020-08-31
4967,T1,200192.0,5,2020-09-07,2020-10-30,54.0,2020-08-31
4967,T1,200204.0,10,2020-09-07,2020-10-30,54.0,2020-08-31
4967,T2,200070.0,1,2020-11-02,2021-01-22,82.0,2020-10-26
4967,T2,200191.0,1,2020-11-02,2021-01-22,82.0,2020-10-26
4967,T2,200195.0,1,2020-11-02,2021-01-22,82.0,2020-10-26
4967,T2,200197.0,24,2020-11-02,2021-01-22,82.0,2020-10-26
4967,T3,200068.0,6,2021-02-08,2021-04-09,61.0,2021-02-01
4967,T4,200194.0,17,2021-04-12,2021-06-11,61.0,2021-04-05
4967,T4,200200.0,38,2021-04-12,2021-06-11,61.0,2021-04-05
4969,S1,200071.0,5,2020-09-07,2021-01-15,131.0,2020-08-31
4969,S1,200187.0,1,2020-09-07,2021-01-15,131.0,2020-08-31
4969,S1,200196.0,8,2020-09-07,2021-01-15,131.0,2020-08-31
4969,S1,200201.0,2,2020-09-07,2021-01-15,131.0,2020-08-31
4969,S1,400041.0,20,2020-09-07,2021-01-15,131.0,2020-08-31
4969,S1,400044.0,20,2020-09-07,2021-01-15,131.0,2020-08-31
4969,S2,200014.0,6,2021-02-08,2021-06-18,131.0,2021-02-01
4969,S2,200135.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
4969,S2,200146.0,5,2021-02-08,2021-06-18,131.0,2021-02-01
4969,S2,200166.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
4969,S2,200167.0,2,2021-02-08,2021-06-18,131.0,2021-02-01
