,cd_curso,semestre,courseid,Users per course,Start Date,End Date,Course duration days,Week before start,course_encoding,Date_threshold_10,Date_threshold_25,Date_threshold_33,Date_threshold_50,Date_threshold_100
128,9155.0,S1,100040.0,58,2020-09-07,2021-01-22,138.0,2020-08-31,128,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
129,9155.0,S1,100050.0,77,2020-09-07,2021-01-22,138.0,2020-08-31,129,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
130,9155.0,S1,100055.0,68,2020-09-07,2021-01-22,138.0,2020-08-31,130,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
131,9155.0,S1,100059.0,63,2020-09-07,2021-01-22,138.0,2020-08-31,131,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
132,9155.0,S1,100068.0,81,2020-09-07,2021-01-22,138.0,2020-08-31,132,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
133,9155.0,S1,100094.0,91,2020-09-07,2021-01-22,138.0,2020-08-31,133,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
134,9155.0,S1,100145.0,79,2020-09-07,2021-01-22,138.0,2020-08-31,134,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
135,9155.0,S1,100146.0,63,2020-09-07,2021-01-22,138.0,2020-08-31,135,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
136,9155.0,S1,100147.0,66,2020-09-07,2021-01-22,138.0,2020-08-31,136,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
137,9155.0,S2,100010.0,69,2021-02-08,2021-06-25,138.0,2021-02-01,137,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
138,9155.0,S2,100014.0,69,2021-02-08,2021-06-25,138.0,2021-02-01,138,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
139,9155.0,S2,100024.0,94,2021-02-08,2021-06-25,138.0,2021-02-01,139,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
140,9155.0,S2,100035.0,83,2021-02-08,2021-06-25,138.0,2021-02-01,140,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
141,9155.0,S2,100049.0,69,2021-02-08,2021-06-25,138.0,2021-02-01,141,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
142,9155.0,S2,100053.0,73,2021-02-08,2021-06-25,138.0,2021-02-01,142,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
143,9155.0,S2,100057.0,68,2021-02-08,2021-06-25,138.0,2021-02-01,143,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
144,9155.0,S2,100073.0,83,2021-02-08,2021-06-25,138.0,2021-02-01,144,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
145,9155.0,S2,100080.0,87,2021-02-08,2021-06-25,138.0,2021-02-01,145,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
146,9155.0,S2,100092.0,67,2021-02-08,2021-06-25,138.0,2021-02-01,146,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
147,9155.0,S2,100096.0,67,2021-02-08,2021-06-25,138.0,2021-02-01,147,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
148,9155.0,S2,100098.0,76,2021-02-08,2021-06-25,138.0,2021-02-01,148,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
149,9155.0,S2,100103.0,35,2021-02-08,2021-06-25,138.0,2021-02-01,149,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
150,9434.0,S1,200012.0,178,2020-09-07,2021-01-22,138.0,2020-08-31,150,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
151,9434.0,S1,200071.0,161,2020-09-07,2021-01-22,138.0,2020-08-31,151,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
152,9434.0,S1,200165.0,164,2020-09-07,2021-01-22,138.0,2020-08-31,152,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
153,9434.0,S1,200187.0,121,2020-09-07,2021-01-22,138.0,2020-08-31,153,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
154,9434.0,S1,200196.0,113,2020-09-07,2021-01-22,138.0,2020-08-31,154,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
155,9434.0,S1,200201.0,35,2020-09-07,2021-01-22,138.0,2020-08-31,155,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
156,9434.0,S1,400082.0,98,2020-09-07,2021-01-22,138.0,2020-08-31,156,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
157,9434.0,S2,200013.0,150,2021-02-08,2021-06-25,138.0,2021-02-01,157,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
158,9434.0,S2,200014.0,84,2021-02-08,2021-06-25,138.0,2021-02-01,158,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
159,9434.0,S2,200049.0,86,2021-02-08,2021-06-25,138.0,2021-02-01,159,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
160,9434.0,S2,200162.0,26,2021-02-08,2021-06-25,138.0,2021-02-01,160,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
161,9434.0,S2,200166.0,144,2021-02-08,2021-06-25,138.0,2021-02-01,161,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
162,9434.0,S2,200167.0,154,2021-02-08,2021-06-25,138.0,2021-02-01,162,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
163,9434.0,S2,200170.0,105,2021-02-08,2021-06-25,138.0,2021-02-01,163,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
164,9434.0,S2,200188.0,94,2021-02-08,2021-06-25,138.0,2021-02-01,164,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
165,9434.0,S2,400023.0,41,2021-02-08,2021-06-25,138.0,2021-02-01,165,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
166,9434.0,T1,200073.0,111,2020-09-07,2020-11-06,61.0,2020-08-31,166,2020-09-18,2020-09-25,2020-10-02,2020-10-09,2020-11-13
167,9434.0,T1,200192.0,114,2020-09-07,2020-11-06,61.0,2020-08-31,167,2020-09-18,2020-09-25,2020-10-02,2020-10-09,2020-11-13
168,9434.0,T1,200193.0,119,2020-09-07,2020-11-06,61.0,2020-08-31,168,2020-09-18,2020-09-25,2020-10-02,2020-10-09,2020-11-13
169,9434.0,T1,200204.0,26,2020-09-07,2020-11-06,61.0,2020-08-31,169,2020-09-18,2020-09-25,2020-10-02,2020-10-09,2020-11-13
170,9434.0,T2,200070.0,95,2020-11-02,2021-01-22,82.0,2020-10-26,170,2020-11-13,2020-11-27,2020-12-04,2020-12-18,2021-01-29
171,9434.0,T2,200195.0,94,2020-11-02,2021-01-22,82.0,2020-10-26,171,2020-11-13,2020-11-27,2020-12-04,2020-12-18,2021-01-29
172,9434.0,T2,200197.0,125,2020-11-02,2021-01-22,82.0,2020-10-26,172,2020-11-13,2020-11-27,2020-12-04,2020-12-18,2021-01-29
173,9434.0,T2,400020.0,97,2020-11-02,2021-01-22,82.0,2020-10-26,173,2020-11-13,2020-11-27,2020-12-04,2020-12-18,2021-01-29
174,9434.0,T3,200068.0,89,2021-02-08,2021-04-09,61.0,2021-02-01,174,2021-02-19,2021-02-26,2021-03-05,2021-03-12,2021-04-16
175,9434.0,T3,200210.0,81,2021-02-08,2021-04-09,61.0,2021-02-01,175,2021-02-19,2021-02-26,2021-03-05,2021-03-12,2021-04-16
176,9434.0,T4,200194.0,102,2021-04-12,2021-06-11,61.0,2021-04-05,176,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-06-18
177,9434.0,T4,200200.0,32,2021-04-12,2021-06-11,61.0,2021-04-05,177,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-06-18
178,9434.0,T4,200217.0,26,2021-04-12,2021-06-11,61.0,2021-04-05,178,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-06-18
179,9435.0,S1,200187.0,35,2020-09-07,2021-01-22,138.0,2020-08-31,179,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
180,9435.0,S2,200188.0,36,2021-02-08,2021-06-25,138.0,2021-02-01,180,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
