,course,Users per course,Start Date,End Date,Course duration days,Week before start,Date_threshold_10,Date_threshold_25,Date_threshold_33,Date_threshold_50,Date_threshold_100
510,5476.0,103.0,2015-04-20,2015-05-22,33.0,2015-04-13,2015-04-24,2015-05-01,2015-05-01,2015-05-08,2015-05-29
515,5490.0,34.0,2015-01-12,2015-02-13,33.0,2015-01-05,2015-01-16,2015-01-23,2015-01-23,2015-01-30,2015-02-20
516,5499.0,64.0,2015-01-19,2015-06-26,159.0,2015-01-12,2015-02-06,2015-02-27,2015-03-13,2015-04-10,2015-07-03
517,5502.0,71.0,2015-01-19,2015-05-15,117.0,2015-01-12,2015-01-30,2015-02-20,2015-02-27,2015-03-20,2015-05-22
518,5503.0,64.0,2015-01-19,2015-05-22,124.0,2015-01-12,2015-02-06,2015-02-20,2015-03-06,2015-03-27,2015-05-29
519,554.0,28.0,2015-02-16,2015-06-26,131.0,2015-02-09,2015-03-06,2015-03-20,2015-04-03,2015-04-24,2015-07-03
524,560.0,82.0,2014-09-15,2015-01-16,124.0,2014-09-08,2014-10-03,2014-10-17,2014-10-31,2014-11-21,2015-01-23
525,5610.0,60.0,2015-01-26,2015-05-15,110.0,2015-01-19,2015-02-06,2015-02-27,2015-03-06,2015-03-27,2015-05-22
528,5639.0,78.0,2015-02-09,2015-06-12,124.0,2015-02-02,2015-02-27,2015-03-13,2015-03-27,2015-04-17,2015-06-19
529,564.0,26.0,2015-01-19,2015-05-22,124.0,2015-01-12,2015-02-06,2015-02-20,2015-03-06,2015-03-27,2015-05-29
530,5646.0,57.0,2015-02-02,2015-06-19,138.0,2015-01-26,2015-02-20,2015-03-13,2015-03-20,2015-04-17,2015-06-26
531,566.0,46.0,2015-02-02,2015-05-15,103.0,2015-01-26,2015-02-13,2015-02-27,2015-03-13,2015-03-27,2015-05-22
532,5688.0,30.0,2015-05-25,2015-06-26,33.0,2015-05-18,2015-05-29,2015-06-05,2015-06-05,2015-06-12,2015-07-03
537,580.0,90.0,2015-01-19,2015-03-27,68.0,2015-01-12,2015-01-30,2015-02-06,2015-02-13,2015-02-27,2015-04-03
542,5909.0,27.0,2015-06-29,2015-07-31,33.0,2015-06-22,2015-07-03,2015-07-10,2015-07-10,2015-07-17,2015-08-07
545,651.0,26.0,2015-02-02,2015-05-29,117.0,2015-01-26,2015-02-13,2015-03-06,2015-03-13,2015-04-03,2015-06-05
547,666.0,27.0,2015-01-12,2015-05-22,131.0,2015-01-05,2015-01-30,2015-02-13,2015-02-27,2015-03-20,2015-05-29
548,673.0,27.0,2014-09-29,2015-03-06,159.0,2014-09-22,2014-10-17,2014-11-07,2014-11-21,2014-12-19,2015-03-13
550,689.0,43.0,2014-09-29,2014-12-19,82.0,2014-09-22,2014-10-10,2014-10-24,2014-10-31,2014-11-14,2014-12-26
551,690.0,242.0,2015-01-19,2015-05-08,110.0,2015-01-12,2015-01-30,2015-02-20,2015-02-27,2015-03-20,2015-05-15
552,693.0,95.0,2015-02-16,2015-05-15,89.0,2015-02-09,2015-02-27,2015-03-13,2015-03-20,2015-04-03,2015-05-22
553,715.0,26.0,2015-01-26,2015-05-08,103.0,2015-01-19,2015-02-06,2015-02-20,2015-03-06,2015-03-20,2015-05-15
554,722.0,60.0,2014-09-01,2015-01-09,131.0,2014-08-25,2014-09-19,2014-10-03,2014-10-17,2014-11-07,2015-01-16
555,734.0,30.0,2014-09-08,2015-01-09,124.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-16
556,736.0,34.0,2014-09-01,2015-01-16,138.0,2014-08-25,2014-09-19,2014-10-10,2014-10-17,2014-11-14,2015-01-23
558,746.0,55.0,2014-09-01,2014-12-05,96.0,2014-08-25,2014-09-12,2014-09-26,2014-10-03,2014-10-24,2014-12-12
559,753.0,49.0,2014-09-08,2015-05-29,264.0,2014-09-01,2014-10-10,2014-11-14,2014-12-05,2015-01-23,2015-06-05
561,762.0,27.0,2015-01-26,2015-05-29,124.0,2015-01-19,2015-02-13,2015-02-27,2015-03-13,2015-04-03,2015-06-05
562,806.0,46.0,2014-09-08,2015-05-15,250.0,2014-09-01,2014-10-03,2014-11-14,2014-12-05,2015-01-16,2015-05-22
563,841.0,29.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
564,845.0,53.0,2014-09-01,2014-12-26,117.0,2014-08-25,2014-09-12,2014-10-03,2014-10-10,2014-10-31,2015-01-02
571,993.0,55.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
572,999.0,59.0,2014-09-15,2015-01-30,138.0,2014-09-08,2014-10-03,2014-10-24,2014-10-31,2014-11-28,2015-02-06
