,id,category,sortorder,fullname,shortname,idnumber,summary,summaryformat,format,showgrades,newsitems,startdate,marker,maxbytes,legacyfiles,showreports,visible,visibleold,groupmode,groupmodeforce,defaultgroupingid,lang,calendartype,theme,timecreated,timemodified,requested,enablecompletion,completionnotify,cacherev
1366,1386.0,1.0,12602.0,nombre,"T_1C,A_13306","T_1C,A_13306",-,0.0,topics,0.0,5.0,1418770800.0,0.0,41943040.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1349277271.0,1418812756.0,0.0,0.0,0.0,1425313993.0
1367,1387.0,1.0,12601.0,nombre,"T_1C,A_13475","T_1C,A_13475",-,1.0,topics,1.0,1.0,1429480800.0,0.0,41943040.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1307609720.0,1429556960.0,0.0,0.0,0.0,1429556960.0
1368,1388.0,1.0,12600.0,nombre,"T_1C,A_13896","T_1C,A_13896",-,1.0,topics,1.0,1.0,1429480800.0,0.0,41943040.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1307606853.0,1429557244.0,0.0,0.0,0.0,1429557363.0
1369,1389.0,1.0,12599.0,nombre,"T_1C,A_13270","T_1C,A_13270",-,1.0,topics,0.0,1.0,1390345200.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307604044.0,1390389567.0,0.0,0.0,0.0,1425313993.0
1370,1390.0,1.0,12598.0,nombre,"T_1C,A_13400","T_1C,A_13400",-,1.0,topics,1.0,1.0,943916400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307604123.0,1307604123.0,0.0,0.0,0.0,1425313993.0
1371,1391.0,1.0,12597.0,nombre,"T_1C,A_13928","T_1C,A_13928",-,1.0,topics,1.0,1.0,1431986400.0,0.0,41943040.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1307620005.0,1432038843.0,0.0,0.0,0.0,1432038843.0
1372,1392.0,1.0,12596.0,nombre,"T_1C,A_13508","T_1C,A_13508",-,1.0,topics,1.0,1.0,1393455600.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1315924177.0,1393522301.0,0.0,0.0,0.0,1425313993.0
1373,1393.0,1.0,12595.0,nombre,"T_1C,A_13361","T_1C,A_13361",-,1.0,topics,1.0,1.0,1382479200.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307607164.0,1382529761.0,0.0,0.0,0.0,1425313993.0
1374,1394.0,1.0,12594.0,nombre,"T_1C,A_13028,G_((D))","T_1C,A_13028,G_((D))",-,1.0,topics,1.0,1.0,1389740400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307609686.0,1389807223.0,0.0,0.0,0.0,1425313993.0
1375,1395.0,1.0,12593.0,nombre,"T_S,A_GDEREC01-3-008,G_((H))","T_S,A_GDEREC01-3-008,G_((H))",-,1.0,topics,1.0,1.0,1423004400.0,0.0,41943040.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,1307620724.0,1423064468.0,0.0,0.0,0.0,1429712356.0
1376,1396.0,1.0,12592.0,nombre,"T_1C,A_13250","T_1C,A_13250",-,1.0,topics,1.0,1.0,1394319600.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307607921.0,1394395346.0,0.0,0.0,0.0,1425313993.0
1377,1397.0,1.0,12591.0,nombre,"T_1C,A_13367","T_1C,A_13367",-,1.0,topics,1.0,1.0,1379628000.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307605635.0,1379668636.0,0.0,0.0,0.0,1425313993.0
1378,1398.0,1.0,12590.0,nombre,"T_1C,A_13028,G_((C))","T_1C,A_13028,G_((C))",-,1.0,topics,1.0,1.0,1389740400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1318322704.0,1389807248.0,0.0,0.0,0.0,1425313993.0
